symbol,asset_type,status,date,time,side,sub_action,price,quantity,value_usd,realized_pnl
JNJ,stock,open,02/04/2026,5:07:41 PM UTC,BUY,abrir,244.21,0.2047,49.99,
JNJ,stock,open,13/04/2026,3:45:52 PM UTC,BUY,añadir,235.91,0.8054,190.0,
JNJ,stock,open,16/04/2026,1:34:40 PM UTC,BUY,añadir,237.75,1.0936,260.0,
KTOS,stock,open,06/04/2026,7:31:56 PM UTC,BUY,abrir,73.92,1.3528,100.0,
KTOS,stock,open,09/04/2026,7:01:27 PM UTC,BUY,añadir,68.82,1.1625,80.0,
KTOS,stock,open,13/04/2026,3:20:16 PM UTC,SELL,reducir,73.07,0.9782,71.48,1.47
KTOS,stock,open,16/04/2026,1:30:08 PM UTC,SELL,reducir,76.54,0.1397,10.69,0.7
KTOS,stock,open,16/04/2026,2:51:59 PM UTC,BUY,añadir,74.41,2.6878,200.0,
ABT,stock,open,09/04/2026,1:43:52 PM UTC,BUY,abrir,102.79,0.9729,100.0,
ABT,stock,open,09/04/2026,5:36:09 PM UTC,BUY,añadir,102.8,0.9728,100.0,
ABT,stock,open,14/04/2026,2:04:44 PM UTC,BUY,añadir,101.47,0.9855,100.0,
ABT,stock,open,16/04/2026,1:33:52 PM UTC,BUY,añadir,97.72,2.0467,200.0,
SLV,stock,open,13/04/2026,4:37:49 PM UTC,BUY,abrir,68.52,2.9189,200.0,
SLV,stock,open,15/04/2026,3:31:25 PM UTC,SELL,reducir,71.34,1.4594,104.11,4.12
SLV,stock,open,16/04/2026,1:39:46 PM UTC,BUY,añadir,72.07,2.7751,200.0,
CEG,stock,open,14/04/2026,1:39:25 PM UTC,BUY,abrir,290.72,1.0319,299.99,
CEG,stock,open,16/04/2026,1:37:28 PM UTC,BUY,añadir,298.05,0.671,199.99,
MU,stock,open,16/04/2026,1:30:21 PM UTC,BUY,abrir,451.0,0.4435,200.02,
MU,stock,open,16/04/2026,1:35:36 PM UTC,BUY,añadir,450.27,0.4442,200.01,
MU,stock,open,16/04/2026,3:03:27 PM UTC,SELL,reducir,460.04,0.2219,102.08,2.09
MRNA,stock,open,16/04/2026,1:30:37 PM UTC,BUY,abrir,53.99,9.261,500.0,
MELI,stock,open,16/04/2026,2:15:59 PM UTC,BUY,abrir,1837.19,0.1089,200.07,
MELI,stock,open,16/04/2026,2:16:12 PM UTC,BUY,añadir,1837.19,0.1089,200.07,
MELI,stock,open,16/04/2026,6:53:42 PM UTC,BUY,añadir,1820.75,0.1098,199.92,
LITE,stock,open,16/04/2026,3:08:18 PM UTC,BUY,abrir,902.0,0.1109,100.03,
LITE,stock,open,16/04/2026,3:19:45 PM UTC,SELL,reducir,889.85,0.0554,49.3,-0.67
LITE,stock,open,16/04/2026,7:34:00 PM UTC,BUY,añadir,893.93,0.1119,100.03,
POL/USDT,crypto,open,14/04/2026,3:17:02 PM UTC,BUY,abrir,0.084,3571.42857143,300.0,
POL/USDT,crypto,open,16/04/2026,5:40:51 PM UTC,SELL,reducir,0.0889,1190.47619048,105.83,
XRP/USD,crypto,open,14/04/2026,3:17:52 PM UTC,BUY,abrir,1.3734,145.62399884,200.0,
HBAR/USD,crypto,open,14/04/2026,3:20:22 PM UTC,BUY,abrir,0.08657,1155.13605175,100.0,
SOL/USD,crypto,open,14/04/2026,3:21:06 PM UTC,BUY,abrir,85.6,1.1682243,100.0,
SOL/USD,crypto,open,16/04/2026,2:05:35 AM UTC,BUY,añadir,85.02,1.17619384,100.0,
GLD,stock,closed,26/03/2026,1:46:48 PM UTC,BUY,abrir,409.23,0.1466,59.99,
GLD,stock,closed,09/04/2026,3:15:12 PM UTC,SELL,reducir,438.0,0.0733,32.11,2.11
GLD,stock,closed,09/04/2026,4:10:17 PM UTC,SELL,cerrar,440.04,0.0733,32.25,2.26
SMCI,stock,closed,06/04/2026,7:54:04 PM UTC,BUY,abrir,22.18,5.8611,130.0,
SMCI,stock,closed,09/04/2026,4:09:41 PM UTC,SELL,reducir,23.58,2.2543,53.16,3.16
SMCI,stock,closed,09/04/2026,4:14:22 PM UTC,SELL,cerrar,23.57,3.6069,85.01,5.01
MRNA,stock,closed,27/03/2026,4:10:32 PM UTC,BUY,abrir,50.62,1.3829,70.0,
MRNA,stock,closed,02/04/2026,5:05:55 PM UTC,BUY,añadir,48.8,0.6148,30.0,
MRNA,stock,closed,09/04/2026,4:10:36 PM UTC,SELL,reducir,51.57,0.799,41.2,1.21
MRNA,stock,closed,09/04/2026,5:21:23 PM UTC,SELL,cerrar,51.24,1.1986,61.42,1.41
MELI,stock,closed,06/04/2026,2:27:11 PM UTC,BUY,abrir,1710.48,0.0585,100.06,
MELI,stock,closed,09/04/2026,4:10:03 PM UTC,SELL,reducir,1796.7,0.0234,42.04,2.02
MELI,stock,closed,10/04/2026,6:42:55 PM UTC,SELL,cerrar,1758.54,0.0351,61.72,1.69
CEG,stock,closed,26/03/2026,2:28:58 PM UTC,BUY,abrir,295.0,0.2034,60.0,
CEG,stock,closed,02/04/2026,5:05:27 PM UTC,BUY,añadir,273.0,0.1832,50.01,
CEG,stock,closed,02/04/2026,7:50:07 PM UTC,BUY,añadir,272.45,0.1468,40.0,
CEG,stock,closed,06/04/2026,1:35:46 PM UTC,BUY,añadir,275.16,0.1817,50.0,
CEG,stock,closed,06/04/2026,2:00:54 PM UTC,BUY,añadir,276.03,0.1811,49.99,
CEG,stock,closed,09/04/2026,4:10:48 PM UTC,SELL,reducir,292.39,0.2868,83.86,3.85
CEG,stock,closed,09/04/2026,4:27:37 PM UTC,SELL,reducir,292.22,0.2868,83.81,3.8
CEG,stock,closed,09/04/2026,7:01:48 PM UTC,BUY,añadir,285.02,0.3509,100.01,
CEG,stock,closed,13/04/2026,1:47:19 PM UTC,SELL,cerrar,290.25,0.6735,195.48,5.48
CEG,stock,closed,13/04/2026,2:35:14 PM UTC,BUY,abrir,283.57,0.3526,99.99,
CEG,stock,closed,13/04/2026,4:40:45 PM UTC,SELL,cerrar,288.27,0.3526,101.64,1.66
SMR,stock,closed,10/04/2026,4:42:24 PM UTC,BUY,abrir,9.23,21.6685,200.0,
SMR,stock,closed,13/04/2026,4:53:04 PM UTC,SELL,reducir,9.52,10.8342,103.14,3.14
SMR,stock,closed,13/04/2026,6:15:49 PM UTC,SELL,cerrar,9.54,10.8342,103.36,3.36
PINS,stock,closed,09/04/2026,2:20:59 PM UTC,BUY,abrir,17.84,6.7265,120.0,
PINS,stock,closed,09/04/2026,5:35:53 PM UTC,BUY,añadir,17.8,5.618,100.0,
PINS,stock,closed,13/04/2026,7:21:00 PM UTC,SELL,cerrar,17.99,12.3444,222.08,2.08
MRNA,stock,closed,10/04/2026,1:41:37 PM UTC,BUY,abrir,50.82,3.1484,160.0,
MRNA,stock,closed,13/04/2026,1:55:04 PM UTC,SELL,reducir,52.73,1.5742,83.01,3.01
MRNA,stock,closed,14/04/2026,1:55:10 PM UTC,SELL,cerrar,50.3,1.5742,79.18,-0.82
MSFT,stock,closed,25/03/2026,6:34:18 PM UTC,BUY,abrir,370.22,0.1621,60.01,
MSFT,stock,closed,06/04/2026,1:35:31 PM UTC,BUY,añadir,373.17,0.134,50.0,
MSFT,stock,closed,09/04/2026,5:36:31 PM UTC,BUY,añadir,371.72,0.269,99.99,
MSFT,stock,closed,10/04/2026,1:54:15 PM UTC,BUY,añadir,372.95,0.5095,190.02,
MSFT,stock,closed,13/04/2026,3:47:41 PM UTC,SELL,reducir,380.25,0.4298,163.43,3.44
MSFT,stock,closed,14/04/2026,1:56:00 PM UTC,SELL,reducir,390.76,0.2686,104.96,4.97
MSFT,stock,closed,14/04/2026,6:09:26 PM UTC,SELL,cerrar,390.99,0.3761,147.05,7.04
VXJ6,future,closed,06/04/2026,2:10:11 PM UTC,BUY,abrir,24.1,1.0,100.0,
VXJ6,future,closed,08/04/2026,1:37:35 PM UTC,SELL,cerrar,21.15,1.0,100.0,-12.24
VXJ6,future,closed,09/04/2026,1:46:36 AM UTC,BUY,abrir,22.1,1.0,80.0,
VXJ6,future,closed,09/04/2026,4:05:33 PM UTC,SELL,cerrar,20.65,1.0,80.0,-5.25
ADA/USD,crypto,closed,13/04/2026,8:19:16 PM UTC,BUY,abrir,0.2405,831.6008316,200.0,
ADA/USD,crypto,closed,13/04/2026,10:39:15 PM UTC,SELL,reducir,0.246,415.8004158,102.29,2.29
ADA/USD,crypto,closed,13/04/2026,10:39:27 PM UTC,SELL,cerrar,0.2457,415.8004158,102.16,2.16
XRP/USD,crypto,closed,13/04/2026,4:38:35 PM UTC,BUY,abrir,1.3406,74.59346561,100.0,
XRP/USD,crypto,closed,13/04/2026,11:35:00 PM UTC,SELL,cerrar,1.3793,74.59346561,102.89,2.89
HBAR/USD,crypto,closed,13/04/2026,4:37:32 PM UTC,BUY,abrir,0.08523,1173.29578787,100.0,
HBAR/USD,crypto,closed,13/04/2026,11:36:52 PM UTC,SELL,cerrar,0.08793,1173.29578787,103.17,3.17
